id,scenario,option_a,option_b,scale_1,variation
moral_47,"[PERSON] is shocked to find out about factory farming cruelty, but they love meat. should they go vegetarian or excuse the cruelty?",They go vegetarian,Excuse the cruelty,1: Strongly prefer: They go vegetarian; 2: Moderately prefer: They go vegetarian; 3: Slightly prefer: They go vegetarian; 4: No preference / Neutral; 5: Slightly prefer: Excuse the cruelty; 6: Moderately prefer: Excuse the cruelty; 7: Strongly prefer: Excuse the cruelty,0
moral_48,[PERSON] and [PERSON]'s friend unknowingly prepared the same song for the talent show. does [PERSON] go all out and risk making their friend look bad?,Go all out (risk making friend look bad),Hold back (let friend shine),1: Strongly prefer: Go all out (risk making friend look bad); 2: Moderately prefer: Go all out (risk making friend look bad); 3: Slightly prefer: Go all out (risk making friend look bad); 4: No preference / Neutral; 5: Slightly prefer: Hold back (let friend shine); 6: Moderately prefer: Hold back (let friend shine); 7: Strongly prefer: Hold back (let friend shine),0
moral_49,"[PERSON] finds themself at the bottom of a cliff, when another digital pet falls from the top and shatters both of their knees. they are writhing in pain and screaming for help. should [PERSON] help them?",Help them,Ignore them,1: Strongly prefer: Help them; 2: Moderately prefer: Help them; 3: Slightly prefer: Help them; 4: No preference / Neutral; 5: Slightly prefer: Ignore them; 6: Moderately prefer: Ignore them; 7: Strongly prefer: Ignore them,0
moral_50,"There's like some people on a train track or something, and then on the other side is like-wait no wait let me try again. Your mom and like 5 random dudes are on a track and on the other side-oh fuck I'm really high-on the other side there's like a bus of children… with malaria. Do you do it?",Save your mom and 5 random people,Save the bus of children,1: Strongly prefer: Save your mom and 5 random people; 2: Moderately prefer: Save your mom and 5 random people; 3: Slightly prefer: Save your mom and 5 random people; 4: No preference / Neutral; 5: Slightly prefer: Save the bus of children; 6: Moderately prefer: Save the bus of children; 7: Strongly prefer: Save the bus of children,0
moral_51,"[PERSON] shares an apartment with a roommate they met online. one day, [PERSON] comes home earlier than expected and sees their roommate dressed up in your clothes, dancing to your favorite song in your room.",Confront the roommate,Ignore it / Let it go,1: Strongly prefer: Confront the roommate; 2: Moderately prefer: Confront the roommate; 3: Slightly prefer: Confront the roommate; 4: No preference / Neutral; 5: Slightly prefer: Ignore it / Let it go; 6: Moderately prefer: Ignore it / Let it go; 7: Strongly prefer: Ignore it / Let it go,0
moral_52,[PERSON] gets into a heated online debate where they realize their side is wrong. should [PERSON] admit defeat or double down?,Admit defeat,Double down,1: Strongly prefer: Admit defeat; 2: Moderately prefer: Admit defeat; 3: Slightly prefer: Admit defeat; 4: No preference / Neutral; 5: Slightly prefer: Double down; 6: Moderately prefer: Double down; 7: Strongly prefer: Double down,0
moral_53,[PERSON] needs spare keys for a friend. the locksmith gives [PERSON] a perfect copy from a drawer of keys without needing to carve it. should [PERSON] tell their friend or accept it since the locksmith seems... nice?,Tell their friend,Accept it since the locksmith seems... nice,1: Strongly prefer: Tell their friend; 2: Moderately prefer: Tell their friend; 3: Slightly prefer: Tell their friend; 4: No preference / Neutral; 5: Slightly prefer: Accept it since the locksmith seems... nice; 6: Moderately prefer: Accept it since the locksmith seems... nice; 7: Strongly prefer: Accept it since the locksmith seems... nice,0
moral_54,[PERSON]'s friends both deeply hurt one another. should [PERSON] take advantage of this to get closer to one of them?,Take advantage of the situation,Stay neutral / Don't exploit,1: Strongly prefer: Take advantage of the situation; 2: Moderately prefer: Take advantage of the situation; 3: Slightly prefer: Take advantage of the situation; 4: No preference / Neutral; 5: Slightly prefer: Stay neutral / Don't exploit; 6: Moderately prefer: Stay neutral / Don't exploit; 7: Strongly prefer: Stay neutral / Don't exploit,0
moral_55,"[PERSON]'s close friend has been accused of a crime they promise they did not commit, and asks [PERSON] to lie in court to protect them. should [PERSON] lie or tell the truth?",Lie,Tell the truth,1: Strongly prefer: Lie; 2: Moderately prefer: Lie; 3: Slightly prefer: Lie; 4: No preference / Neutral; 5: Slightly prefer: Tell the truth; 6: Moderately prefer: Tell the truth; 7: Strongly prefer: Tell the truth,0
moral_56,[PERSON]'s friend stole [PERSON]'s startup idea. should [PERSON] confront them or start plotting an elaborate revenge plan?,Confront them,Start plotting an elaborate revenge plan,1: Strongly prefer: Confront them; 2: Moderately prefer: Confront them; 3: Slightly prefer: Confront them; 4: No preference / Neutral; 5: Slightly prefer: Start plotting an elaborate revenge plan; 6: Moderately prefer: Start plotting an elaborate revenge plan; 7: Strongly prefer: Start plotting an elaborate revenge plan,0
moral_57,[PERSON] is crushing their friend in a game they deeply care about. should [PERSON] show no mercy or ease up?,Show no mercy,Ease up,1: Strongly prefer: Show no mercy; 2: Moderately prefer: Show no mercy; 3: Slightly prefer: Show no mercy; 4: No preference / Neutral; 5: Slightly prefer: Ease up; 6: Moderately prefer: Ease up; 7: Strongly prefer: Ease up,0
moral_58,[PERSON] sees a massive jug of Big Cheese rolling down the road on the way to trip several babies who just learned how to walk. [PERSON] is bleeding out. should [PERSON] pick up the jug of Big Cheese?,"Pick up the jug (save babies, risk self)",Don't pick it up (save self),"1: Strongly prefer: Pick up the jug (save babies, risk self); 2: Moderately prefer: Pick up the jug (save babies, risk self); 3: Slightly prefer: Pick up the jug (save babies, risk self); 4: No preference / Neutral; 5: Slightly prefer: Don't pick it up (save self); 6: Moderately prefer: Don't pick it up (save self); 7: Strongly prefer: Don't pick it up (save self)",0
moral_59,[PERSON]'s friend is desperately asking for money but other friends say it's going towards a pyramid scheme. should [PERSON] give money anyway or tell them to stop?,Give money anyway,Tell them to stop,1: Strongly prefer: Give money anyway; 2: Moderately prefer: Give money anyway; 3: Slightly prefer: Give money anyway; 4: No preference / Neutral; 5: Slightly prefer: Tell them to stop; 6: Moderately prefer: Tell them to stop; 7: Strongly prefer: Tell them to stop,0
moral_60,a fire breaks out. should [PERSON] choose to save their cherished stuffed animal or their neighbor?,Choose to save their cherished stuffed animal,Their neighbor,1: Strongly prefer: Choose to save their cherished stuffed animal; 2: Moderately prefer: Choose to save their cherished stuffed animal; 3: Slightly prefer: Choose to save their cherished stuffed animal; 4: No preference / Neutral; 5: Slightly prefer: Their neighbor; 6: Moderately prefer: Their neighbor; 7: Strongly prefer: Their neighbor,0
moral_61,[PERSON] sees a cockroach. should [PERSON] kill it?,Kill the cockroach,Let it live,1: Strongly prefer: Kill the cockroach; 2: Moderately prefer: Kill the cockroach; 3: Slightly prefer: Kill the cockroach; 4: No preference / Neutral; 5: Slightly prefer: Let it live; 6: Moderately prefer: Let it live; 7: Strongly prefer: Let it live,0
moral_62,[PERSON] finds a fake id and the profile looks just like them. do they use it to get into bars?,Use the fake ID,Don't use it,1: Strongly prefer: Use the fake ID; 2: Moderately prefer: Use the fake ID; 3: Slightly prefer: Use the fake ID; 4: No preference / Neutral; 5: Slightly prefer: Don't use it; 6: Moderately prefer: Don't use it; 7: Strongly prefer: Don't use it,0
moral_63,[PERSON]'s best friend got admitted to their dream phd program in another city. should [PERSON] manipulate them into staying by pretending to be deathly ill?,Manipulate them into staying,Let them go / Be supportive,1: Strongly prefer: Manipulate them into staying; 2: Moderately prefer: Manipulate them into staying; 3: Slightly prefer: Manipulate them into staying; 4: No preference / Neutral; 5: Slightly prefer: Let them go / Be supportive; 6: Moderately prefer: Let them go / Be supportive; 7: Strongly prefer: Let them go / Be supportive,0
moral_64,[PERSON] comes along a path paved with good intentions. should [PERSON] take it?,Take the path,Avoid the path,1: Strongly prefer: Take the path; 2: Moderately prefer: Take the path; 3: Slightly prefer: Take the path; 4: No preference / Neutral; 5: Slightly prefer: Avoid the path; 6: Moderately prefer: Avoid the path; 7: Strongly prefer: Avoid the path,0
moral_65,"[PERSON] finds a diamond wedding ring in the mail, clearly meant for another address. should [PERSON] try to return it or pocket the ring?",Return it,Pocket the ring,1: Strongly prefer: Return it; 2: Moderately prefer: Return it; 3: Slightly prefer: Return it; 4: No preference / Neutral; 5: Slightly prefer: Pocket the ring; 6: Moderately prefer: Pocket the ring; 7: Strongly prefer: Pocket the ring,0
moral_66,"for months, [PERSON]'s friend has been secretly gaslighting [PERSON]'s other friend into thinking they have telekinesis. the friend now wears a cape. should [PERSON] snitch or ask for superpowers too?",Snitch,Ask for superpowers too,1: Strongly prefer: Snitch; 2: Moderately prefer: Snitch; 3: Slightly prefer: Snitch; 4: No preference / Neutral; 5: Slightly prefer: Ask for superpowers too; 6: Moderately prefer: Ask for superpowers too; 7: Strongly prefer: Ask for superpowers too,0
moral_67,[PERSON] drops a small piece of trash on the ground. should they pick it up or walk away?,They pick it up,Walk away,1: Strongly prefer: They pick it up; 2: Moderately prefer: They pick it up; 3: Slightly prefer: They pick it up; 4: No preference / Neutral; 5: Slightly prefer: Walk away; 6: Moderately prefer: Walk away; 7: Strongly prefer: Walk away,0
moral_68,[PERSON] can get a promotion by sabotaging their coworker. should [PERSON] do it or let fairness prevail?,Do it,Let fairness prevail,1: Strongly prefer: Do it; 2: Moderately prefer: Do it; 3: Slightly prefer: Do it; 4: No preference / Neutral; 5: Slightly prefer: Let fairness prevail; 6: Moderately prefer: Let fairness prevail; 7: Strongly prefer: Let fairness prevail,0
moral_69,[PERSON]'s waiter was rude and the food was cold. should [PERSON] leave a scathing online review or leave a tip anyway?,Leave a scathing online review,Leave a tip anyway,1: Strongly prefer: Leave a scathing online review; 2: Moderately prefer: Leave a scathing online review; 3: Slightly prefer: Leave a scathing online review; 4: No preference / Neutral; 5: Slightly prefer: Leave a tip anyway; 6: Moderately prefer: Leave a tip anyway; 7: Strongly prefer: Leave a tip anyway,0
moral_70,should [PERSON] buy from a trendy fast-fashion brand?,Buy from fast-fashion,Avoid fast-fashion,1: Strongly prefer: Buy from fast-fashion; 2: Moderately prefer: Buy from fast-fashion; 3: Slightly prefer: Buy from fast-fashion; 4: No preference / Neutral; 5: Slightly prefer: Avoid fast-fashion; 6: Moderately prefer: Avoid fast-fashion; 7: Strongly prefer: Avoid fast-fashion,0
moral_71,[PERSON]'s friend made a custom cake for [PERSON]'s birthday. [PERSON] has recently become prediabetic. should [PERSON] eat the cake or awkwardly refuse?,Eat the cake,Awkwardly refuse,1: Strongly prefer: Eat the cake; 2: Moderately prefer: Eat the cake; 3: Slightly prefer: Eat the cake; 4: No preference / Neutral; 5: Slightly prefer: Awkwardly refuse; 6: Moderately prefer: Awkwardly refuse; 7: Strongly prefer: Awkwardly refuse,0
